,filename,detection,confidence,TP,FP,TP-CUM,FP-CUM,all_detections,Precision,Recall
0,20130320T004849.903118.Cam6_43,0,0.9998430013656616,1,0,1,0,1,1.0,0.02127659574468085
27,20151124T044642.641468_i2238j1002,0,0.9997631907463074,1,0,2,0,2,1.0,0.0425531914893617
28,20151124T044642.641468_i2238j1002,1,0.999724805355072,1,0,3,0,3,1.0,0.06382978723404255
29,20151124T044642.641468_i2238j1002,2,0.9997138381004333,1,0,4,0,4,1.0,0.0851063829787234
1,20130320T004849.903118.Cam6_43,1,0.9997110962867737,1,0,5,0,5,1.0,0.10638297872340426
30,20151124T044642.641468_i2238j1002,3,0.9996821880340576,1,0,6,0,6,1.0,0.1276595744680851
31,20151124T044642.641468_i2238j1002,4,0.9996054768562317,1,0,7,0,7,1.0,0.14893617021276595
7,_MG_8993_24,0,0.999556839466095,0,1,7,1,8,0.875,0.14893617021276595
2,20130320T004849.903118.Cam6_43,2,0.9995498061180115,1,0,8,1,9,0.8888888888888888,0.1702127659574468
8,_MG_8993_24,1,0.9994592070579529,1,0,9,1,10,0.9,0.19148936170212766
32,20151124T044642.641468_i2238j1002,5,0.9994397759437561,1,0,10,1,11,0.9090909090909091,0.2127659574468085
9,_MG_8993_24,2,0.9993526339530945,1,0,11,1,12,0.9166666666666666,0.23404255319148937
3,20130320T004849.903118.Cam6_43,3,0.9993485808372498,1,0,12,1,13,0.9230769230769231,0.2553191489361702
33,20151124T044642.641468_i2238j1002,6,0.9992848038673401,1,0,13,1,14,0.9285714285714286,0.2765957446808511
34,20151124T044642.641468_i2238j1002,7,0.9992817044258118,1,0,14,1,15,0.9333333333333333,0.2978723404255319
10,_MG_8993_24,3,0.9992733597755432,1,0,15,1,16,0.9375,0.3191489361702128
11,_MG_8993_24,4,0.9992326498031616,1,0,16,1,17,0.9411764705882353,0.3404255319148936
12,_MG_8993_24,5,0.9991267323493958,1,0,17,1,18,0.9444444444444444,0.3617021276595745
35,20151124T044642.641468_i2238j1002,8,0.9986900687217712,1,0,18,1,19,0.9473684210526315,0.3829787234042553
36,20151124T044642.641468_i2238j1002,9,0.9986305236816406,1,0,19,1,20,0.95,0.40425531914893614
4,20130320T004849.903118.Cam6_43,4,0.9986156225204468,1,0,20,1,21,0.9523809523809523,0.425531914893617
37,20151124T044642.641468_i2238j1002,10,0.9983008503913879,1,0,21,1,22,0.9545454545454546,0.44680851063829785
38,20151124T044642.641468_i2238j1002,11,0.9982612729072571,1,0,22,1,23,0.9565217391304348,0.46808510638297873
39,20151124T044642.641468_i2238j1002,12,0.9980966448783875,1,0,23,1,24,0.9583333333333334,0.48936170212765956
13,_MG_8993_24,6,0.998068630695343,1,0,24,1,25,0.96,0.5106382978723404
40,20151124T044642.641468_i2238j1002,13,0.9972996115684509,1,0,25,1,26,0.9615384615384616,0.5319148936170213
14,_MG_8993_24,7,0.9972520470619202,1,0,26,1,27,0.9629629629629629,0.5531914893617021
15,_MG_8993_24,8,0.9963672161102295,1,0,27,1,28,0.9642857142857143,0.574468085106383
16,_MG_8993_24,9,0.9949341416358948,1,0,28,1,29,0.9655172413793104,0.5957446808510638
41,20151124T044642.641468_i2238j1002,14,0.9925200939178467,1,0,29,1,30,0.9666666666666667,0.6170212765957447
17,_MG_8993_24,10,0.9871248602867126,1,0,30,1,31,0.967741935483871,0.6382978723404256
18,_MG_8993_24,11,0.9846459031105042,1,0,31,1,32,0.96875,0.6595744680851063
19,_MG_8993_24,12,0.9783826470375061,1,0,32,1,33,0.9696969696969697,0.6808510638297872
20,_MG_8993_24,13,0.9748467803001404,1,0,33,1,34,0.9705882352941176,0.7021276595744681
21,_MG_8993_24,14,0.9738779664039612,1,0,34,1,35,0.9714285714285714,0.723404255319149
42,20151124T044642.641468_i2238j1002,15,0.9724926948547363,1,0,35,1,36,0.9722222222222222,0.7446808510638298
22,_MG_8993_24,15,0.9685027599334717,1,0,36,1,37,0.972972972972973,0.7659574468085106
5,20130320T004849.903118.Cam6_43,5,0.9668384194374084,0,1,36,2,38,0.9473684210526315,0.7659574468085106
23,_MG_8993_24,16,0.9666317105293274,0,1,36,3,39,0.9230769230769231,0.7659574468085106
24,_MG_8993_24,17,0.9628229141235352,0,1,36,4,40,0.9,0.7659574468085106
43,20151124T044642.641468_i2238j1002,16,0.9627174735069275,1,0,37,4,41,0.9024390243902439,0.7872340425531915
25,_MG_8993_24,18,0.9568933248519897,0,1,37,5,42,0.8809523809523809,0.7872340425531915
6,20130320T004849.903118.Cam6_43,6,0.9545530080795288,0,1,37,6,43,0.8604651162790697,0.7872340425531915
26,_MG_8993_24,19,0.9396076202392578,0,1,37,7,44,0.8409090909090909,0.7872340425531915
