,filename,detection,confidence,TP,FP,TP-CUM,FP-CUM,all_detections,Precision,Recall
8,20151124T024524.796253_i1870j760,0,0.9999010562896729,1,0,1,0,1,1.0,0.019230769230769232
20,_MG_8080_08,0,0.9998989105224609,1,0,2,0,2,1.0,0.038461538461538464
9,20151124T024524.796253_i1870j760,1,0.9998822212219238,1,0,3,0,3,1.0,0.057692307692307696
10,20151124T024524.796253_i1870j760,2,0.9998456239700317,1,0,4,0,4,1.0,0.07692307692307693
11,20151124T024524.796253_i1870j760,3,0.999839186668396,1,0,5,0,5,1.0,0.09615384615384616
0,20130320T004547.804094.Cam6_12,0,0.9997467398643494,1,0,6,0,6,1.0,0.11538461538461539
1,20130320T004547.804094.Cam6_12,1,0.999669075012207,1,0,7,0,7,1.0,0.1346153846153846
21,_MG_8080_08,1,0.9995905756950378,1,0,8,0,8,1.0,0.15384615384615385
12,20151124T024524.796253_i1870j760,4,0.999548614025116,1,0,9,0,9,1.0,0.17307692307692307
13,20151124T024524.796253_i1870j760,5,0.9995361566543579,1,0,10,0,10,1.0,0.19230769230769232
14,20151124T024524.796253_i1870j760,6,0.999535322189331,1,0,11,0,11,1.0,0.21153846153846154
2,20130320T004547.804094.Cam6_12,2,0.999384880065918,1,0,12,0,12,1.0,0.23076923076923078
22,_MG_8080_08,2,0.9991998076438904,1,0,13,0,13,1.0,0.25
3,20130320T004547.804094.Cam6_12,3,0.9991002082824707,1,0,14,0,14,1.0,0.2692307692307692
23,_MG_8080_08,3,0.9990925788879395,1,0,15,0,15,1.0,0.28846153846153844
15,20151124T024524.796253_i1870j760,7,0.9988970756530762,1,0,16,0,16,1.0,0.3076923076923077
5,20130320T004620.376266.Cam6_41,0,0.9987493753433228,1,0,17,0,17,1.0,0.3269230769230769
24,_MG_8080_08,4,0.9987008571624756,1,0,18,0,18,1.0,0.34615384615384615
4,20130320T004547.804094.Cam6_12,4,0.9986762404441833,1,0,19,0,19,1.0,0.36538461538461536
6,20130320T004620.376266.Cam6_41,1,0.9983975291252136,1,0,20,0,20,1.0,0.38461538461538464
16,20151124T024524.796253_i1870j760,8,0.9983606934547424,1,0,21,0,21,1.0,0.40384615384615385
25,_MG_8080_08,5,0.9979494214057922,1,0,22,0,22,1.0,0.4230769230769231
26,_MG_8080_08,6,0.9965659976005554,1,0,23,0,23,1.0,0.4423076923076923
27,_MG_8080_08,7,0.9963255524635315,1,0,24,0,24,1.0,0.46153846153846156
28,_MG_8080_08,8,0.9959546327590942,1,0,25,0,25,1.0,0.4807692307692308
17,20151124T024524.796253_i1870j760,9,0.9940412640571594,1,0,26,0,26,1.0,0.5
29,_MG_8080_08,9,0.9911125302314758,1,0,27,0,27,1.0,0.5192307692307693
18,20151124T024524.796253_i1870j760,10,0.9892855286598206,1,0,28,0,28,1.0,0.5384615384615384
30,_MG_8080_08,10,0.988554060459137,1,0,29,0,29,1.0,0.5576923076923077
31,_MG_8080_08,11,0.987917959690094,1,0,30,0,30,1.0,0.5769230769230769
32,_MG_8080_08,12,0.9871236085891724,1,0,31,0,31,1.0,0.5961538461538461
33,_MG_8080_08,13,0.9796881079673767,1,0,32,0,32,1.0,0.6153846153846154
19,20151124T024524.796253_i1870j760,11,0.9776089191436768,1,0,33,0,33,1.0,0.6346153846153846
34,_MG_8080_08,14,0.9753206372261047,1,0,34,0,34,1.0,0.6538461538461539
35,_MG_8080_08,15,0.9294124245643616,1,0,35,0,35,1.0,0.6730769230769231
36,_MG_8080_08,16,0.9228296279907227,1,0,36,0,36,1.0,0.6923076923076923
37,_MG_8080_08,17,0.9126699566841125,1,0,37,0,37,1.0,0.7115384615384616
38,_MG_8080_08,18,0.9025103449821472,1,0,38,0,38,1.0,0.7307692307692307
7,20130320T004620.376266.Cam6_41,2,0.9007890820503235,1,0,39,0,39,1.0,0.75
