Confidence,Set,IOU,TP(%),FP(%),FN,Total TP,Total FP,TOtal FN,All Detections,All GT
0.9,val,0.2,0.873321858864028,0.126678141135972,0.160068846815835,2537,368,465,2905,3002
0.9,train,0.2,0.928699504271701,0.071300495728299,0.070667651091657,8805,676,670,9481,9475
0.9,test,0.2,0.899007189318727,0.100992810681274,0.192057514549812,2626,295,561,2921,3187
0.85,val,0.2,0.84761281883584,0.15238718116416,0.13407455853499,2592,466,410,3058,3002
0.85,train,0.2,0.911310008136696,0.088689991863304,0.052481692432872,8960,872,516,9832,9476
0.85,test,0.2,0.875202593192869,0.124797406807131,0.158508914100486,2700,385,489,3085,3189
0.9,val,0.3,0.870223752151463,0.129776247848537,0.163166953528399,2528,377,474,2905,3002
0.9,train,0.3,0.927644763210632,0.072355236789368,0.071722392152727,8795,686,680,9481,9475
0.9,test,0.3,0.892844916124615,0.107155083875385,0.198219787743923,2608,313,579,2921,3187
0.85,val,0.3,0.843361674296926,0.156638325703074,0.138325703073905,2579,479,423,3058,3002
0.85,train,0.3,0.909275834011391,0.090724165988609,0.054515866558177,8940,892,536,9832,9476
0.85,test,0.3,0.8677471636953,0.1322528363047,0.165964343598055,2677,408,512,3085,3189
0.9,val,0.4,0.866092943201377,0.133907056798623,0.167297762478485,2516,389,486,2905,3002
0.9,train,0.4,0.926695496255669,0.073304503744331,0.072671659107689,8786,695,689,9481,9475
0.9,test,0.4,0.887367339952071,0.112632660047929,0.203697363916467,2592,329,595,2921,3187
0.85,val,0.4,0.838129496402878,0.161870503597122,0.143557880967953,2563,495,439,3058,3002
0.85,train,0.4,0.907953620829943,0.092046379170057,0.055838079739626,8927,905,549,9832,9476
0.85,test,0.4,0.860940032414911,0.139059967585089,0.172771474878444,2656,429,533,3085,3189
0.9,val,0.5,0.852667814113597,0.147332185886403,0.180722891566265,2477,428,525,2905,3002
0.9,train,0.5,0.923320324860247,0.076679675139753,0.076046830503112,8754,727,721,9481,9475
0.9,test,0.5,0.87435809654228,0.12564190345772,0.216706607326258,2554,367,633,2921,3187
0.85,val,0.5,0.823086984957489,0.176913015042511,0.158600392413342,2517,541,485,3058,3002
0.85,train,0.5,0.904393816110659,0.095606183889341,0.05939788445891,8892,940,584,9832,9476
0.85,test,0.5,0.846029173419773,0.153970826580227,0.187682333873582,2610,475,579,3085,3189
